County,District,Clan,Town/Village,Total,Male,Female,Households
Bomi,Dowein,Deygbo,Beh,733,383,350,146
Bomi,Dowein,Upper Zoh,Bowein,701,348,353,120
Bomi,Klay,Gorblah,Golodee Lasannah,667,350,317,118
Bomi,Klay,Gorblah,Malema Gorblah,592,312,280,132
Bomi,Klay,Kpo,Klay,1414,689,725,323
Bomi,Klay,Manna,Guie Town,675,338,337,132
Bomi,Klay,Tehr,Sass Town,805,365,440,175
Bomi,Klay,Tehr,Zordee,509,268,241,109
Bomi,Senjeh,LowerTogay -Zone 3,Tubmanburg,14576,7384,7192,3534
Bomi,Senjeh,Zerpeh,Dependent Camp,673,343,330,151
Bomi,Senjeh,Zerpeh,Gbah Jakeh,1255,611,644,300
Bomi,Senjeh,Zerpeh,Married Camp,578,305,273,148
Bomi,Suehn Mecca,Gbojay,Gbao#1,580,309,271,118
Bomi,Suehn Mecca,Gbojay,Gbojay,908,455,453,139
Bomi,Suehn Mecca,Gbojay,Sumo,844,458,386,117
Bomi,Suehn Mecca,Gbor,Alasala,677,308,369,86
Bomi,Suehn Mecca,Gbor,Sueh,885,506,379,147
Bomi,Suehn Mecca,Upper Mecca,Big Geveh,865,476,389,178
Bong,Boinsen,Boinwein,Dolo,540,264,276,106
Bong,Boinsen,Boinwein,U-La,623,305,318,111
Bong,Boinsen,Senwein,Dean Town / Gold Camp,1100,557,543,281
Bong,Boinsen,Senwein,Sayewheh,503,246,257,115
Bong,Boinsen,Senwein,Yolota (A),848,418,430,151
Bong,Fuamah,Dobli,Handii,1003,521,482,211
Bong,Fuamah,Lorla,Degei,508,264,244,99
Bong,Fuamah,Zaweakomu,Bong mines,10166,5125,5041,2214
Bong,Fuamah,Zulo,Zulo,527,261,266,78
Bong,Jorquelleh,Behquelleh,Gbao-Ta,1036,500,536,219
Bong,Jorquelleh,Gbanshay,Foloblan,562,276,586,114
Bong,Jorquelleh,Gbanshay,Tolomanai,729,348,381,121
Bong,Jorquelleh,Jorpolu,Gbarmue,1134,595,539,204
Bong,Jorquelleh,Jorpolu,Gbarna,939,474,465,180
Bong,Jorquelleh,Jorpolu,Kpai,557,280,277,114
Bong,Jorquelleh,Jorpolu,Richard Henry,1226,601,625,227
Bong,Jorquelleh,Jorpolu,Wainsue,1437,695,742,334
Bong,Jorquelleh,Jorpolu,WongbaI,545,261,284,92
Bong,Jorquelleh,Jorquelleh,Gbarnga City,43713,20879,22834,8550
Bong,Jorquelleh,Sheansue,Gbenequelleh,1290,614,696,251
Bong,Jorquelleh,Sheansue,Leleh,678,352,326,141
Bong,Jorquelleh,Sheansue,Muita,712,362,350,132
Bong,Kokoyah,Quikon,Doe,508,240,268,85
Bong,Kpaai,Waytuah,Baila,1218,591,627,193
Bong,Kpaai,Waytuah,Duta,1275,664,611,232
Bong,Kpaai,Waytuah,Galai,906,431,475,170
Bong,Kpaai,Waytuah,Gaytayeah,755,365,390,140
Bong,Kpaai,Waytuah,Kowai,665,345,320,107
Bong,Kpaai,Waytuah,Nyenwolo,522,262,260,127
Bong,Kpaai,Waytuah,Palala City,2210,1026,1184,421
Bong,Kpaai,Waytuah,Sarworlor,609,324,285,91
Bong,Kpaai,Waytuah,Tassah,601,281,320,138
Bong,Kpaai,Waytuah,Zebay,1013,522,491,196
Bong,Kpaai,Wolota,Quoipa,634,343,291,116
Bong,Kpaai,Wolota,Sumo,751,384,367,112
Bong,Kpaai,Wolota,Yila,880,438,442,171
Bong,Kpaai,Wolota,Zowieta,2048,1018,1030,439
Bong,Panta,Gahnmue,Gahnmue,1810,854,956,318
Bong,Panta,Gahnmue,Gbono Paye,1717,878,839,313
Bong,Panta,Panta,Boway,759,363,396,138
Bong,Panta,Panta,Foequelleh,2260,1060,1194,440
Bong,Panta,Panta,Shankpowai,642,338,304,115
Bong,Panta,Wrunah,Gbarnga Siaquelleh,2639,1383,1256,458
Bong,Panta,Wrunah,Jowah,1220,580,640,186
Bong,Salala,Konowolola,Maimue Town,1510,758,752,382
Bong,Salala,Konowolola,Moipa Ta (B),719,358,361,144
Bong,Salala,Konowolola,Totota,6400,3040,3360,1345
Bong,Salala,Konoyea,Yaniquellie,533,280,253,98
Bong,Salala,Kpartolee,Fleh-la,703,362,341,142
Bong,Salala,Kpartolee,Gaya,853,419,434,193
Bong,Salala,Kpartolee,Sugar Hill,520,274,246,144
Bong,Salala,Nyaporquellie,Salala,4784,2344,2440,864
Bong,Sanoyeah,Dingmah,Volomeni,559,273,286,124
Bong,Sanoyeah,Menquelleh,Gbonota,955,466,489,221
Bong,Sanoyeah,Menquelleh,Gou,534,269,265,129
Bong,Sanoyeah,Menquelleh,Nyain,589,289,300,137
Bong,Sanoyeah,Menquelleh,Yeakomue,549,292,257,162
Bong,Sanoyeah,Nyallie,Beletanda I,939,457,482,191
Bong,Sanoyeah,Sanoyea,Sanoyea,1218,597,621,244
Bong,Suakoko,Kpatawee,Gbanla,666,327,339,96
Bong,Suakoko,Kporyorquelleh,Kayata,1058,496,562,225
Bong,Suakoko,Kporyorquelleh,Voloblai,755,399,356,358
Bong,Suakoko,Suakoko,Balamah I,543,258,285,114
Bong,Suakoko,Suakoko,Cuttington Campus,2462,1332,1430,604
Bong,Suakoko,Suakoko,Gbarnga Sinyea,702,348,354,142
Bong,Suakoko,Suakoko,Naai I,578,283,295,125
Bong,Suakoko,Suakoko,Phebe Hospital Compound,672,273,399,94
Bong,Suakoko,Suakoko,Sgt. Kollie Town,2412,1205,1207,553
Bong,Suakoko,Suakoko,Suacoco,5842,2823,3019,869
Bong,Tukpahblee,Soel,Botota,1054,525,529,200
Bong,Tukpahblee,Soel,Gbalorkpala,1569,786,783,259
Bong,Tukpahblee,Soel,Gbecohn,715,366,349,120
Bong,Tukpahblee,Vehn,Tikpah,503,237,266,86
Bong,Yeallequelleh,Garyea,Geata,2977,1440,1537,610
Bong,Yeallequelleh,Yeanawoun,Garmoquelleh,614,303,311,91
Bong,Yeallequelleh,Yeanawoun,Nyeanawon,582,298,284,114
Bong,Yeallequelleh,Zeansue,Zeansue,1441,711,730,285
Bong,Zota,Boisville Township,Makpoh Hill,1134,598,536,255
Bong,Zota,Gwilapolu,Farvey,525,263,262,96
Bong,Zota,Lower Kpaiquelleh,Gbansue Sulonmah,793,382,411,175
Bong,Zota,Upper Kpaiquelleh,Larwelle,967,472,495,188
Bong,Zota,Upper Kpaiquelleh,Shankpallai,1071,504,567,216
Bong,Zota,Zota,Belefanai,1514,743,771,279
Gbarpolu,Belleh,Bade,Baloma,1887,955,932,248
Gbarpolu,Belleh,Bade,Belleh Yallah,1387,733,654,216
Gbarpolu,Belleh,Bade,Fasama,2561,1275,1286,391
Gbarpolu,Belleh,Bade,Konjade,555,280,275,66
Gbarpolu,Belleh,Bade,Kpawolozu,692,347,345,100
Gbarpolu,Belleh,Bade,Manunvordor,710,374,336,82
Gbarpolu,Belleh,Lobarsu,Gatema,919,458,461,104
Gbarpolu,Belleh,Lobarsu,Gbeyanka,678,405,273,75
Gbarpolu,Belleh,Lobarsu,Golata,840,419,421,148
Gbarpolu,Belleh,Lobarsu,Gouwarma,916,488,428,132
Gbarpolu,Belleh,Lobarsu,Kondesu,725,345,380,104
Gbarpolu,Belleh,Lobarsu,Lowoma,937,457,480,144
Gbarpolu,Belleh,Lobarsu,Teikei,855,480,375,95
Gbarpolu,Bokomu,Lower Bokomu,Morlorkwelle A,697,291,406,98
Gbarpolu,Bokomu,Lower Bokomu,Salaya,733,142,591,43
Gbarpolu,Bokomu,Upper Bokomu,Gbarkagborquoita A,835,428,407,100
Gbarpolu,Bokomu,Upper Bokomu,Gbarkagborquoita B,1039,353,686,101
Gbarpolu,Bokomu,Upper Bokomu,Gungbe-ta,841,403,438,116
Gbarpolu,Bokomu,Upper Bokomu,Porkpa-ta B,596,315,281,85
Gbarpolu,Bokomu,Upper Bokomu,Zalakai,812,473,339,105
Gbarpolu,Bopolu,Bondi Mandingo,Bopolu,2912,1549,1363,664
Gbarpolu,Bopolu,Bondi Mandingo,Farwehnta,627,309,318,137
Gbarpolu,Bopolu,Bondi Mandingo,Sappinmah,616,308,308,82
Gbarpolu,Bopolu,Bondi Mandingo,Totaquelleh,708,351,357,164
Gbarpolu,Bopolu,Koninga,Henry Town,1183,660,523,315
Gbarpolu,Gbarma,Gbarma,Gbarma A,865,440,425,135
Gbarpolu,Gbarma,Gbarma,Gbarma B,955,450,505,158
Gbarpolu,Gbarma,Gbarma,Saw Mill,507,255,252,92
Gbarpolu,Gbarma,Gbarma,Vaye,798,443,355,145
Gbarpolu,Gbarma,Gbarma,Zuo,1082,511,571,149
Gbarpolu,Gbarma,Yangaya,Smith,788,438,350,147
Gbarpolu,Gbarma,Yangaya,Tarkpoima,686,344,342,107
Gbarpolu,Gbarma,Yangaya,Weasua,2043,1311,732,417
Gbarpolu,Gbarma,Yangaya,Yangaya B,505,271,234,68
Gbarpolu,Gounwolaila,Gou,Boliah,575,287,288,103
Gbarpolu,Gounwolaila,Gou,Foday-ta,716,340,376,109
Gbarpolu,Gounwolaila,Gou,Kpanta,1115,612,503,150
Gbarpolu,Gounwolaila,Nwolaila,Gelengasiasu,509,254,255,101
Gbarpolu,Gounwolaila,Nwolaila,Kologbane A,1117,348,769,97
Gbarpolu,Gounwolaila,Nwolaila,Kologbane B,555,285,270,96
Gbarpolu,Gounwolaila,Nwolaila,Tenge-Ta,620,358,262,98
Gbarpolu,Kongba,Jawajeh,AMA Sign Board,558,320,238,78
Gbarpolu,Kongba,Jawajeh,Jarwajeih,579,287,292,85
Gbarpolu,Kongba,Jawajeh,Kungbor,1162,569,593,192
Gbarpolu,Koninga,Jawajeh,Camp Alpha,633,396,237,164
Gbarpolu,Koninga,Jawajeh,Nomodatanau,736,384,352,109
Gbarpolu,Koninga,Zuie,Beaden,819,466,353,69
Gbarpolu,Koninga,Zuie,Mbama,565,268,297,86
Gbarpolu,Koninga,Zuie,Timba,611,429,182,117
Gbarpolu,Koninga,Zuie,Zuie A,1368,742,626,154
Gbarpolu,Koninga,Zuie,Zuie B,559,310,249,129
Grand Bassa,Commonwealth2,Upper Buchanan Community,Buchannan,50245,22685,25560,10525
Grand Bassa,District # 1,Mehwein,Jacob Lorteh/ DC,597,297,300,119
Grand Bassa,District # 2,Chan,Bohn Town,824,408,416,181
Grand Bassa,District # 3,Deegba,Kiamue Giah,714,357,357,152
Grand Bassa,District # 3,Deegba,Quekia,577,285,292,145
Grand Bassa,District # 3,Dohnwein,Kainakai,682,351,331,140
Grand Bassa,District # 3,Dohnwein,Saniwein Town,503,299,204,77
Grand Bassa,District # 3,Gaye Peter,Wayzohn Community,6302,3129,2373,1337
Grand Bassa,District # 3,Gaye Peter,Wesseh,533,250,283,106
Grand Bassa,District # 3,Norwein,Klehn,676,346,330,137
Grand Bassa,District # 3,Norwein,Sue,580,309,271,66
Grand Bassa,District # 3,Norwein,Zeongar,562,270,292,105
Grand Bassa,District # 3,Pay-U-Way,Garduor,825,434,391,100
Grand Bassa,District # 3,Pay-U-Way,Kpokon,1080,563,517,183
Grand Bassa,District # 4,L A C Plantation,Bear -Bear Camp,660,349,311,107
Grand Bassa,District # 4,Neetorn,Debbah,717,356,361,180
Grand Bassa,District # 4,Neetorn,Near Camp,812,415,397,199
Grand Bassa,Neekreen,Harlardsville,Joezonhn Town,518,255,263,100
Grand Bassa,Neekreen,Water Tower,Buchannan,15352,7351,8001,2969
Grand Bassa,Owensgrove,Giah,Bokay,648,300,348,143
Grand Bassa,St. John River City,Hartford Ward,St. John River City,3185,1611,1574,713
Grand Cape Mount,Commonwealth,Lower Tombey,Sembehum,590,291,299,58
Grand Cape Mount,Commonwealth,Robertsport,Robertsport,3515,1791,1724,831
Grand Cape Mount,Garwula,Gion,Kpeneji,537,273,264,109
Grand Cape Mount,Garwula,Gion,Wangekor,699,370,329,146
Grand Cape Mount,Garwula,Kaihon,Bendu,789,351,438,161
Grand Cape Mount,Garwula,Kiazolu 1A,Mesila,607,314,293,78
Grand Cape Mount,Garwula,Kiazolu 1C,Bomboja,554,286,268,117
Grand Cape Mount,Garwula,Manobalah A,Boimah Camp,561,308,253,119
Grand Cape Mount,Garwula,Manobalah A,D 9 (Varney Foboi Camp),544,288,256,81
Grand Cape Mount,Garwula,Manobalah A,D-8 New Camp,602,311,291,170
Grand Cape Mount,Garwula,Manobalah A,Fa See Korma,521,341,180,54
Grand Cape Mount,Garwula,Manobalah A,Gbaa Foboi,543,300,243,93
Grand Cape Mount,Garwula,Manobalah A,Mandina (B),603,279,324,96
Grand Cape Mount,Garwula,Manobalah A,Nimba Point,689,375,314,149
Grand Cape Mount,Golakonneh,Darblo,Jenne Brown (A),532,243,289,92
Grand Cape Mount,Golakonneh,Darblo,King George,627,365,262,132
Grand Cape Mount,Golakonneh,Darblo,Mecca,657,342,315,145
Grand Cape Mount,Golakonneh,Laar,Gold Camp,1224,732,492,312
Grand Cape Mount,Golakonneh,Laar,Gondor Town (A),673,378,295,138
Grand Cape Mount,Golakonneh,Laar,Gondor Town (B),627,360,267,152
Grand Cape Mount,Golakonneh,Mana,Diamond Congo,579,317,262,183
Grand Cape Mount,Golakonneh,Mana,Lofa Bridge,1836,972,864,434
Grand Cape Mount,Golakonneh,Mana,Managrordellah,657,406,251,144
Grand Cape Mount,Golakonneh,Mana,Than Town A,731,347,384,168
Grand Cape Mount,Golakonneh,Mana,Than Town B,656,326,330,139
Grand Cape Mount,Golakonneh,Mana,Varguaye,620,345,275,194
Grand Cape Mount,Golakonneh,Mana,Weajue,2621,1608,1013,517
Grand Cape Mount,Porkpa,Kposo,Bamballa Town A,501,258,243,91
Grand Cape Mount,Porkpa,Kposo,Bamballa Town B,1120,533,587,148
Grand Cape Mount,Porkpa,Kposo,Boba Junction,644,279,365,72
Grand Cape Mount,Porkpa,Kposo,Bombor Old Town,713,372,341,138
Grand Cape Mount,Porkpa,Kposo,Gagama Town,798,348,450,107
Grand Cape Mount,Porkpa,Kposo,Juejuah Town,838,410,428,136
Grand Cape Mount,Porkpa,Kposo,Zimidandai Town A,580,279,301,49
Grand Cape Mount,Porkpa,Kposo,Zimidandai Town Hall,602,296,306,80
Grand Cape Mount,Porkpa,Seimavula,Benda (C),2366,1210,1156,276
Grand Cape Mount,Porkpa,Seimavula,Boesan,1363,685,678,196
Grand Cape Mount,Porkpa,Seimavula,Bohay,718,359,359,83
Grand Cape Mount,Porkpa,Seimavula,Bombor Dasalamu,600,325,275,83
Grand Cape Mount,Porkpa,Seimavula,Damballa,3154,1533,1621,385
Grand Cape Mount,Porkpa,Seimavula,Gbama Lumeh,776,389,387,92
Grand Cape Mount,Porkpa,Seimavula,Gbangai,1589,784,805,205
Grand Cape Mount,Porkpa,Seimavula,Guassay A,1273,693,580,124
Grand Cape Mount,Porkpa,Seimavula,Guassay B,1601,887,714,126
Grand Cape Mount,Porkpa,Seimavula,Largor,535,302,233,82
Grand Cape Mount,Porkpa,Seimavula,Lein,1072,601,471,108
Grand Cape Mount,Porkpa,Seimavula,Magima,545,270,275,98
Grand Cape Mount,Porkpa,Seimavula,Mano Gleh,680,354,326,79
Grand Cape Mount,Porkpa,Sokpo,Camp Israel,511,373,138,118
Grand Cape Mount,Porkpa,Sokpo,Fonnor,853,433,420,121
Grand Cape Mount,Porkpa,Sokpo,Gbauju Village,1538,795,743,188
