"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,57,"CIV","Côte d'Ivoire",1,"Abidjan","CI.AB",NA,"","District autonome","Autonomous district","",""
2,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra","CI.BS",NA,"","District","District","","<Null>"
3,57,"CIV","Côte d'Ivoire",3,"Comoé","CI.CM",NA,"","District","District","","<Null>"
4,57,"CIV","Côte d'Ivoire",4,"Denguélé","CI.DE",NA,"","District","District","",""
5,57,"CIV","Côte d'Ivoire",5,"Gôh-Djiboua","CI.GD",NA,"","District","District","",""
6,57,"CIV","Côte d'Ivoire",6,"Lacs","CI.LA",NA,"","District","District","",""
7,57,"CIV","Côte d'Ivoire",7,"Lagunes","CI.LN",NA,"","District","District","","<Null>"
8,57,"CIV","Côte d'Ivoire",8,"Montagnes","CI.MN",NA,"","District","District","",""
9,57,"CIV","Côte d'Ivoire",9,"Sassandra-Marahoué","CI.SM",NA,"","District","District","","<Null>"
10,57,"CIV","Côte d'Ivoire",10,"Savanes","CI.SV",NA,"","District","District","",""
11,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama","CI.VB",NA,"","District","District","",""
12,57,"CIV","Côte d'Ivoire",12,"Woroba","CI.WB",NA,"","District","District","",""
13,57,"CIV","Côte d'Ivoire",13,"Yamoussoukro","CI.YM",NA,"","District autonome","Autonomous district","",""
14,57,"CIV","Côte d'Ivoire",14,"Zanzan","CI.ZA",NA,"","District","District","",""
