"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,57,"CIV","Côte d'Ivoire",1,"Abidjan",1,"Abidjan","CI.AB.AB",NA,"","District autonome","Autonomous district","",""
2,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",2,"Gbôkle","CI.BA.GL",NA,"","Région","Region","",""
3,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",3,"Nawa","CI.BA.NW",NA,"","Région","Region","",""
4,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",4,"San-Pédro","CI.BA.SP",NA,"","Région","Region","",""
5,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",4,"San-Pédro","CI.BS.SP",NA,"","Région","Region","",""
6,57,"CIV","Côte d'Ivoire",3,"Comoé",5,"Indénié-Djuablin","CI.CM.ID",NA,"","Région","Region","",""
7,57,"CIV","Côte d'Ivoire",3,"Comoé",6,"Sud Comoé","CI.CM.SC",NA,"","Région","Region","",""
8,57,"CIV","Côte d'Ivoire",4,"Denguélé",7,"Folon","CI.DE.FO",NA,"","Région","Region","",""
9,57,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Kabadougou","CI.DE.KB",NA,"","Région","Region","",""
10,57,"CIV","Côte d'Ivoire",5,"Gôh-Djiboua",9,"Gôh","CI.GD.GH",NA,"","Région","Region","",""
11,57,"CIV","Côte d'Ivoire",5,"Gôh-Djiboua",10,"Lôh-Djiboua","CI.GD.LD",NA,"","Région","Region","",""
12,57,"CIV","Côte d'Ivoire",6,"Lacs",11,"Bélier","CI.LA.BL",NA,"","Région","Region","",""
13,57,"CIV","Côte d'Ivoire",6,"Lacs",12,"Iffou","CI.LA.IF",NA,"","Région","Region","",""
14,57,"CIV","Côte d'Ivoire",6,"Lacs",13,"Moronou","CI.LA.MN",NA,"","Région","Region","",""
15,57,"CIV","Côte d'Ivoire",6,"Lacs",14,"N'zi","CI.LA.NZ",NA,"","Région","Region","",""
16,57,"CIV","Côte d'Ivoire",7,"Lagunes",15,"Agnéby-Tiassa","CI.LN.AT",NA,"","Région","Region","",""
17,57,"CIV","Côte d'Ivoire",7,"Lagunes",16,"Grands Ponts","CI.LN.GP",NA,"","Région","Region","",""
18,57,"CIV","Côte d'Ivoire",7,"Lagunes",17,"La Mé","CI.LN.ME",NA,"","Région","Region","","Massan"
19,57,"CIV","Côte d'Ivoire",8,"Montagnes",18,"Cavally","CI.MN.CV",NA,"","Région","Region","",""
20,57,"CIV","Côte d'Ivoire",8,"Montagnes",19,"Guémon","CI.MN.GM",NA,"","Région","Region","",""
21,57,"CIV","Côte d'Ivoire",8,"Montagnes",20,"Tonkpi","CI.MN.TP",NA,"","Région","Region","",""
22,57,"CIV","Côte d'Ivoire",9,"Sassandra-Marahoué",21,"Haut-Sassandra","CI.SM.HS",NA,"","Région","Region","",""
23,57,"CIV","Côte d'Ivoire",9,"Sassandra-Marahoué",22,"Marahoué","CI.SM.MH",NA,"","Région","Region","",""
24,57,"CIV","Côte d'Ivoire",10,"Savanes",23,"Bagoué","CI.SV.BG",NA,"","Région","Region","",""
25,57,"CIV","Côte d'Ivoire",10,"Savanes",24,"Poro","CI.SV.PR",NA,"","Région","Region","",""
26,57,"CIV","Côte d'Ivoire",10,"Savanes",25,"Tchologo","CI.SV.TL",NA,"","Région","Region","",""
27,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama",26,"Gbeke","CI.VB.GE",NA,"","Région","Region","",""
28,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama",27,"Hambol","CI.VB.HB",NA,"","Région","Region","",""
29,57,"CIV","Côte d'Ivoire",12,"Woroba",28,"Béré","CI.WB.BR",NA,"","Région","Region","",""
30,57,"CIV","Côte d'Ivoire",12,"Woroba",29,"Bafing","CI.WB.BF",NA,"","Région","Region","",""
31,57,"CIV","Côte d'Ivoire",12,"Woroba",30,"Worodougou","CI.WB.WR",NA,"","Région","Region","",""
32,57,"CIV","Côte d'Ivoire",13,"Yamoussoukro",31,"Yamoussoukro","CI.YM.YM",NA,"","District autonome","Autonomous district","",""
33,57,"CIV","Côte d'Ivoire",14,"Zanzan",32,"Bounkani","CI.ZA.BK",NA,"","Région","Region","",""
34,57,"CIV","Côte d'Ivoire",14,"Zanzan",33,"Gontougo","CI.ZA.GT",NA,"","Région","Region","",""
