"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,57,"CIV","Côte d'Ivoire",1,"Abidjan",1,"Abidjan",1,"Abidjan",NA,"","Département","Department","",""
2,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",2,"Gbôkle",2,"Fresco",NA,"","Département","Department","",""
3,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",2,"Gbôkle",3,"Sassandra",NA,"","Département","Department","",""
4,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",3,"Nawa",4,"Buyo",NA,"","Département","Department","",""
5,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",3,"Nawa",5,"Guéyo",NA,"","Département","Department","",""
6,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",3,"Nawa",6,"Méagui",NA,"","Département","Department","",""
7,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",3,"Nawa",7,"Oupoyo",NA,"","Département","Department","",""
8,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",3,"Nawa",8,"Soubré",NA,"","Département","Department","",""
9,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",4,"San-Pédro",9,"San-Pedro",NA,"","Département","Department","",""
10,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",4,"San-Pédro",10,"Tabou",NA,"","Département","Department","",""
11,57,"CIV","Côte d'Ivoire",3,"Comoé",5,"Indénié-Djuablin",11,"Abengourou",NA,"","Département","Department","",""
12,57,"CIV","Côte d'Ivoire",3,"Comoé",5,"Indénié-Djuablin",12,"Agnibilékrou",NA,"","Département","Department","",""
13,57,"CIV","Côte d'Ivoire",3,"Comoé",5,"Indénié-Djuablin",13,"Bettié",NA,"","Département","Department","",""
14,57,"CIV","Côte d'Ivoire",3,"Comoé",6,"Sud Comoé",14,"Aboisso",NA,"","Département","Department","",""
15,57,"CIV","Côte d'Ivoire",3,"Comoé",6,"Sud Comoé",15,"Adiake",NA,"","Département","Department","",""
