"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
1,57,"CIV","Côte d'Ivoire",1,"Abidjan",1,"Abidjan",1,"Abidjan",1,"Abidjan-Ville","",NA,"","Sous-préfecture","Sub-prefecture"
2,57,"CIV","Côte d'Ivoire",1,"Abidjan",1,"Abidjan",1,"Abidjan",2,"Anyama","",NA,"","Sous-préfecture","Sub-prefecture"
3,57,"CIV","Côte d'Ivoire",1,"Abidjan",1,"Abidjan",1,"Abidjan",3,"Bingerville","",NA,"","Sous-préfecture","Sub-prefecture"
4,57,"CIV","Côte d'Ivoire",1,"Abidjan",1,"Abidjan",1,"Abidjan",4,"Songon","",NA,"","Sous-préfecture","Sub-prefecture"
5,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",2,"Gbôkle",2,"Fresco",5,"Fresco","",NA,"","Sous-préfecture","Sub-prefecture"
6,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",2,"Gbôkle",3,"Sassandra",6,"Sassandra","",NA,"","Sous-préfecture","Sub-prefecture"
7,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",3,"Nawa",4,"Buyo",7,"Buyo","",NA,"","Sous-préfecture","Sub-prefecture"
8,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",3,"Nawa",4,"Buyo",8,"Dapéoua","",NA,"","Sous-préfecture","Sub-prefecture"
9,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",3,"Nawa",5,"Guéyo",9,"Gueyo","",NA,"","Sous-préfecture","Sub-prefecture"
10,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",3,"Nawa",6,"Méagui",10,"Méagui","",NA,"","Sous-préfecture","Sub-prefecture"
11,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",3,"Nawa",7,"Oupoyo",11,"Gnamangui","",NA,"","Sous-préfecture","Sub-prefecture"
12,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",3,"Nawa",8,"Soubré",12,"Gnamangui","",NA,"","Sous-préfecture","Sub-prefecture"
13,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",3,"Nawa",8,"Soubré",13,"Grand-Zattry","",NA,"","Sous-préfecture","Sub-prefecture"
14,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",3,"Nawa",8,"Soubré",14,"Soubre","",NA,"","Sous-préfecture","Sub-prefecture"
15,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",4,"San-Pédro",9,"San-Pedro",15,"Grand-Bereby","",NA,"","Sous-préfecture","Sub-prefecture"
16,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",4,"San-Pédro",9,"San-Pedro",16,"San-Pedro","",NA,"","Sous-préfecture","Sub-prefecture"
17,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",4,"San-Pédro",10,"Tabou",17,"Grabo","",NA,"","Sous-préfecture","Sub-prefecture"
18,57,"CIV","Côte d'Ivoire",2,"Bas-Sassandra",4,"San-Pédro",10,"Tabou",18,"Tabou","",NA,"","Sous-préfecture","Sub-prefecture"
19,57,"CIV","Côte d'Ivoire",3,"Comoé",5,"Indénié-Djuablin",11,"Abengourou",19,"Abengourou","",NA,"","Sous-préfecture","Sub-prefecture"
20,57,"CIV","Côte d'Ivoire",3,"Comoé",5,"Indénié-Djuablin",11,"Abengourou",20,"Niable","",NA,"","Sous-préfecture","Sub-prefecture"
