"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,43,"CPV","Cape Verde",1,"Boa Vista","CV.BV",NA,"","Concelho","County","",""
2,43,"CPV","Cape Verde",2,"Brava","CV.BR",NA,"","Concelho","County","",""
3,43,"CPV","Cape Verde",3,"Maio","CV.MA",NA,"","Concelho","County","",""
4,43,"CPV","Cape Verde",4,"Mosteiros","CV.MO",NA,"","Concelho","County","",""
5,43,"CPV","Cape Verde",5,"Paúl","CV.PA",NA,"","Concelho","County","",""
6,43,"CPV","Cape Verde",6,"Porto Novo","CV.PN",NA,"","Concelho","County","",""
7,43,"CPV","Cape Verde",7,"Praia","CV.PC",NA,"","Concelho","County","",""
8,43,"CPV","Cape Verde",8,"Ribeira Brava","CV.RB",NA,"","Concelho","County","",""
9,43,"CPV","Cape Verde",9,"Ribeira Grande de Santiago","CV.RS",NA,"","Concelho","County","",""
10,43,"CPV","Cape Verde",10,"Ribeira Grande","CV.RG",NA,"","Concelho","County","","Ribeira Grande de Santo Antão"
11,43,"CPV","Cape Verde",11,"São Domingos","CV.SD",NA,"","Concelho","County","",""
12,43,"CPV","Cape Verde",12,"São Filipe","CV.FP",NA,"","Concelho","County","",""
13,43,"CPV","Cape Verde",13,"São Lourenço dos Órgãos","CV.LO",NA,"","Concelho","County","",""
14,43,"CPV","Cape Verde",14,"São Miguel","CV.SM",NA,"","Concelho","County","","Calheta de São Miguel"
15,43,"CPV","Cape Verde",15,"São Salvador do Mundo","CV.SS",NA,"","Concelho","County","",""
16,43,"CPV","Cape Verde",16,"São Vicente","CV.SV",NA,"","Concelho","County","",""
17,43,"CPV","Cape Verde",17,"Sal","CV.SL",NA,"","Concelho","County","",""
18,43,"CPV","Cape Verde",18,"Santa Catarina do Fogo ","CV.CT",NA,"","Concelho","County","",""
19,43,"CPV","Cape Verde",19,"Santa Catarina","CV.CT",NA,"","Concelho","County","",""
20,43,"CPV","Cape Verde",20,"Santa Cruz","CV.CZ",NA,"","Concelho","County","",""
21,43,"CPV","Cape Verde",21,"Tarrafal de São Nicolau","CV.TS",NA,"","Concelho","County","",""
22,43,"CPV","Cape Verde",22,"Tarrafal","CV.TF",NA,"","Concelho","County","",""
