"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,87,"GHA","Ghana",1,"Ashanti","GH.AH",NA,"","Region","Region","",""
2,87,"GHA","Ghana",2,"Brong Ahafo","GH.BA",NA,"","Region","Region","",""
3,87,"GHA","Ghana",3,"Central","GH.CP",NA,"","Region","Region","",""
4,87,"GHA","Ghana",4,"Eastern","GH.EP",NA,"","Region","Region","",""
5,87,"GHA","Ghana",5,"Greater Accra","GH.AA",NA,"","Region","Region","",""
6,87,"GHA","Ghana",6,"Northern","GH.NP",NA,"","Region","Region","",""
7,87,"GHA","Ghana",7,"Upper East","GH.UE",NA,"","Region","Region","",""
8,87,"GHA","Ghana",8,"Upper West","GH.UW",NA,"","Region","Region","",""
9,87,"GHA","Ghana",9,"Volta","GH.TV",NA,"","Region","Region","",""
10,87,"GHA","Ghana",10,"Western","GH.WP",NA,"","Region","Region","",""
