"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,87,"GHA","Ghana",1,"Ashanti",1,"Adansi North","",NA,"","District","District","",""
2,87,"GHA","Ghana",1,"Ashanti",2,"Adansi South","",NA,"","District","District","",""
3,87,"GHA","Ghana",1,"Ashanti",3,"Afigya Sekyere","GH.AH.AF",NA,"","District","District","","Afigya Kwabre"
4,87,"GHA","Ghana",1,"Ashanti",4,"Ahafo Ano North","GH.AH.AN",NA,"","District","District","",""
5,87,"GHA","Ghana",1,"Ashanti",5,"Ahafo Ano South","GH.AH.AS",NA,"","District","District","",""
6,87,"GHA","Ghana",1,"Ashanti",6,"Amansie Central","",NA,"","District","District","",""
7,87,"GHA","Ghana",1,"Ashanti",7,"Amansie East","GH.AH.AM",NA,"","District","District","",""
8,87,"GHA","Ghana",1,"Ashanti",8,"Amansie West","GH.AH.AI",NA,"","District","District","",""
9,87,"GHA","Ghana",1,"Ashanti",9,"Asante Akim North","GH.AH.AR",NA,"","District","District","",""
10,87,"GHA","Ghana",1,"Ashanti",10,"Asante Akim South","GH.AH.AU",NA,"","District","District","",""
11,87,"GHA","Ghana",1,"Ashanti",11,"Atwima Mponua","",NA,"","District","District","",""
12,87,"GHA","Ghana",1,"Ashanti",12,"Atwima","GH.AH.AT",NA,"","District","District","",""
13,87,"GHA","Ghana",1,"Ashanti",13,"Bosomtwe-Kwanwoma","GH.AH.BK",NA,"","District","District","",""
14,87,"GHA","Ghana",1,"Ashanti",14,"Ejisu-Juabeng","GH.AH.EJ",NA,"","District","District","","Ejisu-Juaben|Ejusu/Juaben"
15,87,"GHA","Ghana",1,"Ashanti",15,"Ejura Sekyedumase","GH.AH.ES",NA,"","District","District","","Ejura/Sekyedumasi|Ejura/Sekyeredumasi"
16,87,"GHA","Ghana",1,"Ashanti",16,"Kumasi","GH.AH.KM",NA,"","Metropolitan District","Metropolitan District","","Kumasi Metropolitan Assembly"
17,87,"GHA","Ghana",1,"Ashanti",17,"Kwabre","GH.AH.KB",NA,"","District","District","","Kwabere|Kwabre-Sekyere"
18,87,"GHA","Ghana",1,"Ashanti",18,"Obuasi Municipal","",NA,"","District","District","",""
19,87,"GHA","Ghana",1,"Ashanti",19,"Offinso","GH.AH.OF",NA,"","District","District","",""
20,87,"GHA","Ghana",1,"Ashanti",20,"Sekyere East","GH.AH.SE",NA,"","District","District","",""
21,87,"GHA","Ghana",1,"Ashanti",21,"Sekyere West","GH.AH.SW",NA,"","District","District","",""
22,87,"GHA","Ghana",2,"Brong Ahafo",22,"Asunafo North","",NA,"","District","District","",""
23,87,"GHA","Ghana",2,"Brong Ahafo",23,"Asunafo South","",NA,"","District","District","",""
24,87,"GHA","Ghana",2,"Brong Ahafo",24,"Asutifi","GH.BA.AT",NA,"","District","District","",""
25,87,"GHA","Ghana",2,"Brong Ahafo",25,"Atebubu-Amantin","",NA,"","District","District","",""
26,87,"GHA","Ghana",2,"Brong Ahafo",26,"Berekum","GH.BA.BE",NA,"","District","District","",""
27,87,"GHA","Ghana",2,"Brong Ahafo",27,"Dormaa","GH.BA.DO",NA,"","District","District","",""
28,87,"GHA","Ghana",2,"Brong Ahafo",28,"Jaman North","",NA,"","District","District","",""
29,87,"GHA","Ghana",2,"Brong Ahafo",29,"Jaman South","",NA,"","District","District","",""
30,87,"GHA","Ghana",2,"Brong Ahafo",30,"Kintampo North","",NA,"","District","District","",""
31,87,"GHA","Ghana",2,"Brong Ahafo",31,"Kintampo South","",NA,"","District","District","",""
32,87,"GHA","Ghana",2,"Brong Ahafo",32,"Nkoranza","GH.BA.NK",NA,"","District","District","",""
33,87,"GHA","Ghana",2,"Brong Ahafo",33,"Pru","",NA,"","District","District","",""
34,87,"GHA","Ghana",2,"Brong Ahafo",34,"Sene","GH.BA.SE",NA,"","District","District","",""
35,87,"GHA","Ghana",2,"Brong Ahafo",35,"Sunyani","GH.BA.SY",NA,"","District","District","",""
36,87,"GHA","Ghana",2,"Brong Ahafo",36,"Tain","",NA,"","District","District","",""
37,87,"GHA","Ghana",2,"Brong Ahafo",37,"Tano North","",NA,"","District","District","",""
38,87,"GHA","Ghana",2,"Brong Ahafo",38,"Tano South","",NA,"","District","District","",""
39,87,"GHA","Ghana",2,"Brong Ahafo",39,"Techiman","GH.BA.TE",NA,"","District","District","","Tekyiman"
40,87,"GHA","Ghana",3,"Central",40,"Abura-Asebu-Kwamankese","GH.CP.AB",NA,"","District","District","",""
41,87,"GHA","Ghana",3,"Central",41,"Agona","GH.CP.AG",NA,"","District","District","","Agona-Swedru"
42,87,"GHA","Ghana",3,"Central",42,"Ajumako-Enyan-Esiam","GH.CP.AJ",NA,"","District","District","","Ajumako Enyan|Ajumako-Enyan-Asiam|Ajumaku-Enyam-"
