"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,96,"GNB","Guinea-Bissau",1,"Bafatá",1,"Bafata","",NA,"","Sector","Sector","",""
2,96,"GNB","Guinea-Bissau",1,"Bafatá",2,"Bambadinca","",NA,"","Sector","Sector","",""
3,96,"GNB","Guinea-Bissau",1,"Bafatá",3,"Contuboel","",NA,"","Sector","Sector","",""
4,96,"GNB","Guinea-Bissau",1,"Bafatá",4,"Galomaro","",NA,"","Sector","Sector","",""
5,96,"GNB","Guinea-Bissau",1,"Bafatá",5,"Gamamundo","",NA,"","Sector","Sector","",""
6,96,"GNB","Guinea-Bissau",1,"Bafatá",6,"Xitole","",NA,"","Sector","Sector","",""
7,96,"GNB","Guinea-Bissau",2,"Biombo",7,"Prabis","",NA,"","Sector","Sector","",""
8,96,"GNB","Guinea-Bissau",2,"Biombo",8,"Quinhamel","",NA,"","Sector","Sector","",""
9,96,"GNB","Guinea-Bissau",2,"Biombo",9,"Safim","",NA,"","Sector","Sector","",""
10,96,"GNB","Guinea-Bissau",3,"Bissau",10,"Bissau","",NA,"","Sector","Sector","",""
11,96,"GNB","Guinea-Bissau",4,"Bolama",11,"Bolama","",NA,"","Sector","Sector","",""
12,96,"GNB","Guinea-Bissau",4,"Bolama",12,"Bubaque","",NA,"","Sector","Sector","",""
13,96,"GNB","Guinea-Bissau",4,"Bolama",13,"Caravela","",NA,"","Sector","Sector","","Uno"
14,96,"GNB","Guinea-Bissau",5,"Cacheu",14,"Bigene","",NA,"","Sector","Sector","",""
15,96,"GNB","Guinea-Bissau",5,"Cacheu",15,"Bula","",NA,"","Sector","Sector","",""
16,96,"GNB","Guinea-Bissau",5,"Cacheu",16,"Cacheu","",NA,"","Sector","Sector","",""
17,96,"GNB","Guinea-Bissau",5,"Cacheu",17,"Caio","",NA,"","Sector","Sector","",""
18,96,"GNB","Guinea-Bissau",5,"Cacheu",18,"Canghungo","",NA,"","Sector","Sector","",""
19,96,"GNB","Guinea-Bissau",5,"Cacheu",19,"Sao Domingos","",NA,"","Sector","Sector","",""
20,96,"GNB","Guinea-Bissau",6,"Gabú",20,"Boe","",NA,"","Sector","Sector","",""
21,96,"GNB","Guinea-Bissau",6,"Gabú",21,"Gabu","",NA,"","Sector","Sector","",""
22,96,"GNB","Guinea-Bissau",6,"Gabú",22,"Piche","",NA,"","Sector","Sector","",""
23,96,"GNB","Guinea-Bissau",6,"Gabú",23,"Pirada","",NA,"","Sector","Sector","",""
24,96,"GNB","Guinea-Bissau",6,"Gabú",24,"Sonaco","",NA,"","Sector","Sector","",""
25,96,"GNB","Guinea-Bissau",7,"Oio",25,"Bissora","",NA,"","Sector","Sector","",""
26,96,"GNB","Guinea-Bissau",7,"Oio",26,"Farim","",NA,"","Sector","Sector","",""
27,96,"GNB","Guinea-Bissau",7,"Oio",27,"Mansaba","",NA,"","Sector","Sector","",""
28,96,"GNB","Guinea-Bissau",7,"Oio",28,"Mansoa","",NA,"","Sector","Sector","",""
29,96,"GNB","Guinea-Bissau",7,"Oio",29,"Nhacra","",NA,"","Sector","Sector","",""
30,96,"GNB","Guinea-Bissau",8,"Quinara",30,"Buba","",NA,"","Sector","Sector","",""
31,96,"GNB","Guinea-Bissau",8,"Quinara",31,"Empada","",NA,"","Sector","Sector","",""
32,96,"GNB","Guinea-Bissau",8,"Quinara",32,"Fulacunda","",NA,"","Sector","Sector","","Buba"
33,96,"GNB","Guinea-Bissau",8,"Quinara",33,"Tite","",NA,"","Sector","Sector","",""
34,96,"GNB","Guinea-Bissau",9,"Tombali",34,"Bedanda","",NA,"","Sector","Sector","",""
35,96,"GNB","Guinea-Bissau",9,"Tombali",35,"Cacine","",NA,"","Sector","Sector","",""
36,96,"GNB","Guinea-Bissau",9,"Tombali",36,"Catio","",NA,"","Sector","Sector","","Tombali"
37,96,"GNB","Guinea-Bissau",9,"Tombali",37,"Quebo","",NA,"","Sector","Sector","",""
