"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,138,"MLI","Mali",1,"Bamako",1,"Bamako","ML.BA.BM",NA,"","Cercle","Circle","",""
2,138,"MLI","Mali",2,"Gao",2,"Ansongo","ML.GA.AN",NA,"","Cercle","Circle","",""
3,138,"MLI","Mali",2,"Gao",3,"Bourem","ML.GA.BO",NA,"","Cercle","Circle","",""
4,138,"MLI","Mali",2,"Gao",4,"Gao","ML.GA.GA",NA,"","Cercle","Circle","",""
5,138,"MLI","Mali",2,"Gao",5,"Ménaka","ML.GA.MN",NA,"","Cercle","Circle","",""
6,138,"MLI","Mali",3,"Kayes",6,"Bafoulabé","ML.KY.BF",NA,"","Cercle","Circle","","Bafoulabe"
7,138,"MLI","Mali",3,"Kayes",7,"Diéma","ML.KY.DM",NA,"","Cercle","Circle","","Diema"
8,138,"MLI","Mali",3,"Kayes",8,"Kéniéba","ML.KY.KN",NA,"","Cercle","Circle","","Kenieba"
9,138,"MLI","Mali",3,"Kayes",9,"Kayes","ML.KY.KY",NA,"","Cercle","Circle","",""
10,138,"MLI","Mali",3,"Kayes",10,"Kita","ML.KY.KI",NA,"","Cercle","Circle","",""
11,138,"MLI","Mali",3,"Kayes",11,"Nioro","ML.KY.NR",NA,"","Cercle","Circle","","Nioro du Sahel"
12,138,"MLI","Mali",3,"Kayes",12,"Yélimané","ML.KY.YL",NA,"","Cercle","Circle","","Yelimane"
13,138,"MLI","Mali",4,"Kidal",13,"Abeïbara","ML.KD.AB",NA,"","Cercle","Circle","",""
14,138,"MLI","Mali",4,"Kidal",14,"Kidal","ML.KD.KL",NA,"","Cercle","Circle","",""
15,138,"MLI","Mali",4,"Kidal",15,"Tessalit","ML.KD.TS",NA,"","Cercle","Circle","",""
16,138,"MLI","Mali",4,"Kidal",16,"Tin-Essako","ML.KD.TE",NA,"","Cercle","Circle","",""
17,138,"MLI","Mali",5,"Koulikoro",17,"Banamba","ML.KK.BB",NA,"","Cercle","Circle","",""
18,138,"MLI","Mali",5,"Koulikoro",18,"Dioïla","ML.KK.DL",NA,"","Cercle","Circle","",""
19,138,"MLI","Mali",5,"Koulikoro",19,"Kangaba","ML.KK.KG",NA,"","Cercle","Circle","",""
20,138,"MLI","Mali",5,"Koulikoro",20,"Kati","ML.KK.KT",NA,"","Cercle","Circle","",""
21,138,"MLI","Mali",5,"Koulikoro",21,"Kolokani","ML.KK.KO",NA,"","Cercle","Circle","",""
22,138,"MLI","Mali",5,"Koulikoro",22,"Koulikoro","ML.KK.KK",NA,"","Cercle","Circle","",""
23,138,"MLI","Mali",5,"Koulikoro",23,"Nara","ML.KK.NA",NA,"","Cercle","Circle","",""
24,138,"MLI","Mali",6,"Mopti",24,"Bandiagara","ML.MO.BD",NA,"","Cercle","Circle","",""
25,138,"MLI","Mali",6,"Mopti",25,"Bankass","ML.MO.BK",NA,"","Cercle","Circle","",""
26,138,"MLI","Mali",6,"Mopti",26,"Djenné","ML.MO.DJ",NA,"","Cercle","Circle","","Djenne"
27,138,"MLI","Mali",6,"Mopti",27,"Douentza","ML.MO.DZ",NA,"","Cercle","Circle","",""
28,138,"MLI","Mali",6,"Mopti",28,"Koro","ML.MO.KR",NA,"","Cercle","Circle","",""
29,138,"MLI","Mali",6,"Mopti",29,"Mopti","ML.MO.MP",NA,"","Cercle","Circle","",""
30,138,"MLI","Mali",6,"Mopti",30,"Ténenkou","ML.MO.TN",NA,"","Cercle","Circle","","Tenenkou"
31,138,"MLI","Mali",6,"Mopti",31,"Youwarou","ML.MO.YW",NA,"","Cercle","Circle","","Youvarou"
32,138,"MLI","Mali",7,"Ségou",32,"Barouéli","ML.SG.BR",NA,"","Cercle","Circle","","Baraoueli"
33,138,"MLI","Mali",7,"Ségou",33,"Bla","ML.SG.BL",NA,"","Cercle","Circle","",""
34,138,"MLI","Mali",7,"Ségou",34,"Macina","ML.SG.MC",NA,"","Cercle","Circle","",""
35,138,"MLI","Mali",7,"Ségou",35,"Niono","ML.SG.NN",NA,"","Cercle","Circle","",""
36,138,"MLI","Mali",7,"Ségou",36,"Ségou","ML.SG.SG",NA,"","Cercle","Circle","","Segou"
37,138,"MLI","Mali",7,"Ségou",37,"San","ML.SG.SN",NA,"","Cercle","Circle","",""
38,138,"MLI","Mali",7,"Ségou",38,"Tominian","ML.SG.TM",NA,"","Cercle","Circle","",""
39,138,"MLI","Mali",8,"Sikasso",39,"Bougouni","ML.SK.BG",NA,"","Cercle","Circle","",""
40,138,"MLI","Mali",8,"Sikasso",40,"Kadiolo","ML.SK.KD",NA,"","Cercle","Circle","",""
41,138,"MLI","Mali",8,"Sikasso",41,"Kolondiéba","ML.SK.KB",NA,"","Cercle","Circle","","Kolondieba"
42,138,"MLI","Mali",8,"Sikasso",42,"Koutiala","ML.SK.KU",NA,"","Cercle","Circle","",""
43,138,"MLI","Mali",8,"Sikasso",43,"Sikasso","ML.SK.SK",NA,"","Cercle","Circle","",""
44,138,"MLI","Mali",8,"Sikasso",44,"Yanfolila","ML.SK.YF",NA,"","Cercle","Circle","",""
45,138,"MLI","Mali",8,"Sikasso",45,"Yorosso","ML.SK.YR",NA,"","Cercle","Circle","",""
46,138,"MLI","Mali",9,"Timbuktu",46,"Diré","ML.TB.DR",NA,"","Cercle","Circle","",""
47,138,"MLI","Mali",9,"Timbuktu",47,"Goundam","ML.TB.GD",NA,"","Cercle","Circle","",""
48,138,"MLI","Mali",9,"Timbuktu",48,"Gourma-Rharous","ML.TB.GR",NA,"","Cercle","Circle","",""
49,138,"MLI","Mali",9,"Timbuktu",49,"Niafunké","ML.TB.NF",NA,"","Cercle","Circle","","Niafunke"
50,138,"MLI","Mali",9,"Timbuktu",50,"Tombouctou","ML.TB.TB",NA,"","Cercle","Circle","","Timbuktu"
