"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,138,"MLI","Mali",1,"Bamako",1,"Bamako",1,"Kalban-Coro",NA,"","Arrondissement","Arrondissement","",""
2,138,"MLI","Mali",2,"Gao",2,"Ansongo",2,"Ansongo",NA,"","Arrondissement","Arrondissement","",""
3,138,"MLI","Mali",2,"Gao",2,"Ansongo",3,"Ouatagouna",NA,"","Arrondissement","Arrondissement","",""
4,138,"MLI","Mali",2,"Gao",2,"Ansongo",4,"Talataye",NA,"","Arrondissement","Arrondissement","",""
5,138,"MLI","Mali",2,"Gao",2,"Ansongo",5,"Tessit",NA,"","Arrondissement","Arrondissement","",""
6,138,"MLI","Mali",2,"Gao",3,"Bourem",6,"Almoustarat",NA,"","Arrondissement","Arrondissement","",""
7,138,"MLI","Mali",2,"Gao",3,"Bourem",7,"Bamba",NA,"","Arrondissement","Arrondissement","",""
8,138,"MLI","Mali",2,"Gao",3,"Bourem",8,"Bourem",NA,"","Arrondissement","Arrondissement","",""
9,138,"MLI","Mali",2,"Gao",3,"Bourem",9,"Temera",NA,"","Arrondissement","Arrondissement","",""
10,138,"MLI","Mali",2,"Gao",4,"Gao",10,"Djebock",NA,"","Arrondissement","Arrondissement","",""
11,138,"MLI","Mali",2,"Gao",4,"Gao",11,"Gao-Central",NA,"","Arrondissement","Arrondissement","",""
12,138,"MLI","Mali",2,"Gao",4,"Gao",12,"Gao",NA,"","Arrondissement","Arrondissement","",""
13,138,"MLI","Mali",2,"Gao",4,"Gao",13,"Haoussa-Foulane",NA,"","Arrondissement","Arrondissement","",""
14,138,"MLI","Mali",2,"Gao",4,"Gao",14,"In-Tillit",NA,"","Arrondissement","Arrondissement","",""
15,138,"MLI","Mali",2,"Gao",5,"Ménaka",15,"Anderamboukane",NA,"","Arrondissement","Arrondissement","",""
16,138,"MLI","Mali",2,"Gao",5,"Ménaka",16,"Inekar",NA,"","Arrondissement","Arrondissement","",""
17,138,"MLI","Mali",2,"Gao",5,"Ménaka",17,"Menaka",NA,"","Arrondissement","Arrondissement","",""
18,138,"MLI","Mali",2,"Gao",5,"Ménaka",18,"Tidermene",NA,"","Arrondissement","Arrondissement","",""
19,138,"MLI","Mali",3,"Kayes",6,"Bafoulabé",19,"Bafoulabe",NA,"","Arrondissement","Arrondissement","",""
20,138,"MLI","Mali",3,"Kayes",6,"Bafoulabé",20,"Bamafele",NA,"","Arrondissement","Arrondissement","",""
21,138,"MLI","Mali",3,"Kayes",6,"Bafoulabé",21,"Diakon",NA,"","Arrondissement","Arrondissement","",""
