"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,142,"MRT","Mauritania",1,"Adrar","MR.AD",NA,"","Wilayat|Région","Region","",""
2,142,"MRT","Mauritania",2,"Assaba","MR.AS",NA,"","Wilayat|Région","Region","","Açaba|el-`Açâba"
3,142,"MRT","Mauritania",3,"Brakna","MR.BR",NA,"","Wilayat|Région","Region","",""
4,142,"MRT","Mauritania",4,"Dakhlet Nouadhibou","MR.DN",NA,"","Wilayat|Région","Region","","Dakhlet Nouâdhibou|Baie du Lévrier|Lévrier Bay"
5,142,"MRT","Mauritania",5,"Gorgol","MR.GO",NA,"","Wilayat|Région","Region","",""
6,142,"MRT","Mauritania",6,"Guidimaka","MR.GD",NA,"","Wilayat|Région","Region","","Guidimagha|Guidimakha"
7,142,"MRT","Mauritania",7,"Hodh ech Chargui","MR.HC",NA,"","Wilayat|Région","Region","","Eastern Hodh|Hodh Charghi|Hodh Oriental"
8,142,"MRT","Mauritania",8,"Hodh el Gharbi","MR.HG",NA,"","Wilayat|Région","Region","","Hodh Occidental|Western Hodh"
9,142,"MRT","Mauritania",9,"Inchiri","MR.IN",NA,"","Wilayat|Région","Region","",""
10,142,"MRT","Mauritania",10,"Nouakchott","MR.NO",NA,"","District","District","",""
11,142,"MRT","Mauritania",11,"Tagant","MR.TG",NA,"","Wilayat|Région","Region","",""
12,142,"MRT","Mauritania",12,"Tiris Zemmour","MR.TZ",NA,"","Wilayat|Région","Region","",""
13,142,"MRT","Mauritania",13,"Trarza","MR.TR",NA,"","Wilayat|Région","Region","",""
