"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,142,"MRT","Mauritania",1,"Adrar",1,"Aoujeft","MR.AD.AO",NA,"","Moughataas|Département","Department","",""
2,142,"MRT","Mauritania",1,"Adrar",2,"Atar","MR.AD.AT",NA,"","Moughataas|Département","Department","",""
3,142,"MRT","Mauritania",1,"Adrar",3,"Chinguetti","MR.AD.CH",NA,"","Moughataas|Département","Department","","Chingueti|Chinguitti"
4,142,"MRT","Mauritania",2,"Assaba",4,"Barkéol","MR.AS.BK",NA,"","Moughataas|Département","Department","","Aftout|Barkewol"
5,142,"MRT","Mauritania",2,"Assaba",5,"Boumdeïd","MR.AS.BD",NA,"","Moughataas|Département","Department","",""
6,142,"MRT","Mauritania",2,"Assaba",6,"Guérou","MR.AS.GU",NA,"","Moughataas|Département","Department","","Guerrou"
7,142,"MRT","Mauritania",2,"Assaba",7,"Kankossa","MR.AS.KK",NA,"","Moughataas|Département","Department","",""
8,142,"MRT","Mauritania",2,"Assaba",8,"Kiffa","MR.AS.KF",NA,"","Moughataas|Département","Department","",""
9,142,"MRT","Mauritania",3,"Brakna",9,"Aleg","MR.BR.AL",NA,"","Moughataas|Département","Department","",""
10,142,"MRT","Mauritania",3,"Brakna",10,"Bababé","MR.BR.BB",NA,"","Moughataas|Département","Department","",""
11,142,"MRT","Mauritania",3,"Brakna",11,"Boghé","MR.BR.BG",NA,"","Moughataas|Département","Department","",""
12,142,"MRT","Mauritania",3,"Brakna",12,"M'Bagne","MR.BR.MB",NA,"","Moughataas|Département","Department","","M Bagne"
13,142,"MRT","Mauritania",3,"Brakna",13,"Magta-Lahjar","MR.BR.ML",NA,"","Moughataas|Département","Department","",""
14,142,"MRT","Mauritania",4,"Dakhlet Nouadhibou",14,"Nouadhibou","MR.DN.NO",NA,"","Moughataas|Département","Department","",""
15,142,"MRT","Mauritania",5,"Gorgol",15,"Kaédi","MR.GO.KD",NA,"","Moughataas|Département","Department","",""
16,142,"MRT","Mauritania",5,"Gorgol",16,"M'Bout","MR.GO.MT",NA,"","Moughataas|Département","Department","","M Bout"
17,142,"MRT","Mauritania",5,"Gorgol",17,"Maghama","MR.GO.MG",NA,"","Moughataas|Département","Department","",""
18,142,"MRT","Mauritania",5,"Gorgol",18,"Monguel","MR.GO.MN",NA,"","Moughataas|Département","Department","","Mounguel"
19,142,"MRT","Mauritania",6,"Guidimaka",19,"Ould Yengé","MR.GD.OY",NA,"","Moughataas|Département","Department","",""
20,142,"MRT","Mauritania",6,"Guidimaka",20,"Sélibaby","MR.GD.SB",NA,"","Moughataas|Département","Department","",""
21,142,"MRT","Mauritania",7,"Hodh ech Chargui",21,"Amourj","MR.HC.AM",NA,"","Moughataas|Département","Department","",""
22,142,"MRT","Mauritania",7,"Hodh ech Chargui",22,"Bassikounou","MR.HC.BS",NA,"","Moughataas|Département","Department","","Bassiknou"
23,142,"MRT","Mauritania",7,"Hodh ech Chargui",23,"Djiguenni","MR.HC.DJ",NA,"","Moughataas|Département","Department","","Djigueni|Djigueni"
24,142,"MRT","Mauritania",7,"Hodh ech Chargui",24,"Néma","MR.HC.NE",NA,"","Moughataas|Département","Department","",""
25,142,"MRT","Mauritania",7,"Hodh ech Chargui",25,"Ouadane","MR.AD.OD",NA,"","Moughataas|Département","Department","","Oualata"
26,142,"MRT","Mauritania",7,"Hodh ech Chargui",26,"Timbédra","MR.HC.TB",NA,"","Moughataas|Département","Department","",""
27,142,"MRT","Mauritania",8,"Hodh el Gharbi",27,"Aïoun","MR.HG.AI",NA,"","Moughataas|Département","Department","","Aioun al Atrous"
28,142,"MRT","Mauritania",8,"Hodh el Gharbi",28,"Kobenni","MR.HG.KB",NA,"","Moughataas|Département","Department","","Koubeni|Koubenni"
29,142,"MRT","Mauritania",8,"Hodh el Gharbi",29,"Tamchakett","MR.HG.TA",NA,"","Moughataas|Département","Department","","Tamchekket|Tamchekett"
30,142,"MRT","Mauritania",8,"Hodh el Gharbi",30,"Tintane","MR.HG.TT",NA,"","Moughataas|Département","Department","",""
31,142,"MRT","Mauritania",9,"Inchiri",31,"Akjoujt","MR.IN.AK",NA,"","Moughataas|Département","Department","",""
32,142,"MRT","Mauritania",10,"Nouakchott",32,"Nouakchott","",NA,"","Moughataas|Département","Department","",""
33,142,"MRT","Mauritania",11,"Tagant",33,"Moudjéria","MR.TG.MJ",NA,"","Moughataas|Département","Department","",""
34,142,"MRT","Mauritania",11,"Tagant",34,"Tichitt","MR.TG.TC",NA,"","Moughataas|Département","Department","","Tichit"
35,142,"MRT","Mauritania",11,"Tagant",35,"Tidjikja","MR.TG.TJ",NA,"","Moughataas|Département","Department","",""
36,142,"MRT","Mauritania",12,"Tiris Zemmour",36,"Bir Moghreïn","MR.TZ.BM",NA,"","Moughataas|Département","Department","","Bir Mogrein"
37,142,"MRT","Mauritania",12,"Tiris Zemmour",37,"F'Dérik","MR.TZ.FD",NA,"","Moughataas|Département","Department","","F Derik|F'Derick|F'Deirik"
38,142,"MRT","Mauritania",12,"Tiris Zemmour",38,"Zouérate","MR.TZ.ZO",NA,"","Moughataas|Département","Department","",""
39,142,"MRT","Mauritania",13,"Trarza",39,"Boutilimit","MR.TR.BT",NA,"","Moughataas|Département","Department","",""
40,142,"MRT","Mauritania",13,"Trarza",40,"Keur-Macène","MR.TR.KM",NA,"","Moughataas|Département","Department","","Keur Massene"
41,142,"MRT","Mauritania",13,"Trarza",41,"Méderdra","MR.TR.MD",NA,"","Moughataas|Département","Department","",""
