"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,162,"NER","Niger",1,"Agadez",1,"Arlit","NE.AG.AR",NA,"","Arrondissement","Arrondissement","",""
2,162,"NER","Niger",1,"Agadez",2,"Bilma","NE.AG.BL",NA,"","Arrondissement","Arrondissement","",""
3,162,"NER","Niger",1,"Agadez",3,"Tchighozerine","",NA,"","Arrondissement","Arrondissement","",""
4,162,"NER","Niger",2,"Diffa",4,"Diffa","NE.DF.DF",NA,"","Arrondissement","Arrondissement","",""
5,162,"NER","Niger",2,"Diffa",5,"Maïné-Soroa","NE.DF.MS",NA,"","Arrondissement","Arrondissement","",""
6,162,"NER","Niger",2,"Diffa",6,"N'Guigmi","NE.DF.NG",NA,"","Arrondissement","Arrondissement","",""
7,162,"NER","Niger",3,"Dosso",7,"Boboye","NE.DS.BG",NA,"","Arrondissement","Arrondissement","","Birni N'Gaouré"
8,162,"NER","Niger",3,"Dosso",8,"Dogon-Doutchi","NE.DS.DD",NA,"","Arrondissement","Arrondissement","",""
9,162,"NER","Niger",3,"Dosso",9,"Dosso","NE.DS.DS",NA,"","Arrondissement","Arrondissement","",""
10,162,"NER","Niger",3,"Dosso",10,"Gaya","NE.DS.GA",NA,"","Arrondissement","Arrondissement","",""
11,162,"NER","Niger",3,"Dosso",11,"Loga","NE.DS.LO",NA,"","Arrondissement","Arrondissement","",""
12,162,"NER","Niger",4,"Maradi",12,"Aguié","NE.MA.AG",NA,"","Arrondissement","Arrondissement","",""
13,162,"NER","Niger",4,"Maradi",13,"Dakoro","NE.MA.DK",NA,"","Arrondissement","Arrondissement","",""
14,162,"NER","Niger",4,"Maradi",14,"Groumdji","NE.MA.GR",NA,"","Arrondissement","Arrondissement","","Guidan-Roumdji"
15,162,"NER","Niger",4,"Maradi",15,"Madarounfa","NE.MA.MF",NA,"","Arrondissement","Arrondissement","",""
16,162,"NER","Niger",4,"Maradi",16,"Mayahi","NE.MA.MY",NA,"","Arrondissement","Arrondissement","",""
17,162,"NER","Niger",4,"Maradi",17,"Tessaoua","NE.MA.TS",NA,"","Arrondissement","Arrondissement","",""
18,162,"NER","Niger",5,"Niamey",18,"Niamey","",NA,"","Arrondissement","Arrondissement","",""
19,162,"NER","Niger",6,"Tahoua",19,"Bkonni","NE.TH.BK",NA,"","Arrondissement","Arrondissement","","Birni N'Konni"
20,162,"NER","Niger",6,"Tahoua",20,"Bouza","NE.TH.BZ",NA,"","Arrondissement","Arrondissement","",""
21,162,"NER","Niger",6,"Tahoua",21,"Illéla","NE.TH.IL",NA,"","Arrondissement","Arrondissement","",""
22,162,"NER","Niger",6,"Tahoua",22,"Keita","NE.TH.KE",NA,"","Arrondissement","Arrondissement","",""
23,162,"NER","Niger",6,"Tahoua",23,"Madaoua","NE.TH.MD",NA,"","Arrondissement","Arrondissement","",""
24,162,"NER","Niger",6,"Tahoua",24,"Tahoua","NE.TH.TH",NA,"","Arrondissement","Arrondissement","",""
25,162,"NER","Niger",6,"Tahoua",25,"Tchin-Tabarade","NE.TH.TT",NA,"","Arrondissement","Arrondissement","","Tchin-Tabaraden"
26,162,"NER","Niger",7,"Tillabéry",26,"Filingué","NE.TL.FI",NA,"","Arrondissement","Arrondissement","",""
27,162,"NER","Niger",7,"Tillabéry",27,"Kollo","",NA,"","Arrondissement","Arrondissement","",""
28,162,"NER","Niger",7,"Tillabéry",28,"Ouallam","NE.TL.OU",NA,"","Arrondissement","Arrondissement","",""
29,162,"NER","Niger",7,"Tillabéry",29,"Say","NE.TL.SA",NA,"","Arrondissement","Arrondissement","",""
30,162,"NER","Niger",7,"Tillabéry",30,"Téra","NE.TL.TR",NA,"","Arrondissement","Arrondissement","",""
31,162,"NER","Niger",7,"Tillabéry",31,"Tillabéry","NE.TL.TL",NA,"","Arrondissement","Arrondissement","",""
32,162,"NER","Niger",8,"Zinder",32,"Gouré","NE.ZI.GO",NA,"","Arrondissement","Arrondissement","",""
33,162,"NER","Niger",8,"Zinder",33,"Magaria","NE.ZI.MG",NA,"","Arrondissement","Arrondissement","",""
34,162,"NER","Niger",8,"Zinder",34,"Matameye","NE.ZI.MT",NA,"","Arrondissement","Arrondissement","","Matamey"
35,162,"NER","Niger",8,"Zinder",35,"Mirriah","NE.ZI.MR",NA,"","Arrondissement","Arrondissement","","Miria|Mirria"
36,162,"NER","Niger",8,"Zinder",36,"Tanout","NE.ZI.TN",NA,"","Arrondissement","Arrondissement","",""
