"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,162,"NER","Niger",1,"Agadez",1,"Arlit",1,"ZR Arlit",NA,"","Commune","Commune","",""
2,162,"NER","Niger",1,"Agadez",2,"Bilma",2,"Bilma",NA,"","Commune","Commune","",""
3,162,"NER","Niger",1,"Agadez",2,"Bilma",3,"Kawar",NA,"","Commune","Commune","",""
4,162,"NER","Niger",1,"Agadez",3,"Tchighozerine",4,"ZR Tchirozerine",NA,"","Commune","Commune","",""
5,162,"NER","Niger",2,"Diffa",4,"Diffa",5,"Bosso",NA,"","Commune","Commune","",""
6,162,"NER","Niger",2,"Diffa",4,"Diffa",6,"Diffa",NA,"","Commune","Commune","",""
7,162,"NER","Niger",2,"Diffa",4,"Diffa",7,"Komadougou",NA,"","Commune","Commune","",""
8,162,"NER","Niger",2,"Diffa",5,"Maïné-Soroa",8,"Goudoumaria",NA,"","Commune","Commune","",""
9,162,"NER","Niger",2,"Diffa",5,"Maïné-Soroa",9,"Maine Soroa",NA,"","Commune","Commune","",""
10,162,"NER","Niger",2,"Diffa",6,"N'Guigmi",10,"N' Guigmi",NA,"","Commune","Commune","",""
11,162,"NER","Niger",2,"Diffa",6,"N'Guigmi",11,"ZR N' Guigmi",NA,"","Commune","Commune","",""
12,162,"NER","Niger",3,"Dosso",7,"Boboye",12,"Birni Ngaoure",NA,"","Commune","Commune","",""
13,162,"NER","Niger",3,"Dosso",7,"Boboye",13,"Kiota",NA,"","Commune","Commune","",""
14,162,"NER","Niger",3,"Dosso",7,"Boboye",14,"Koygolo",NA,"","Commune","Commune","",""
15,162,"NER","Niger",3,"Dosso",8,"Dogon-Doutchi",15,"Dogondoutchi",NA,"","Commune","Commune","",""
16,162,"NER","Niger",3,"Dosso",8,"Dogon-Doutchi",16,"Takassaba",NA,"","Commune","Commune","",""
17,162,"NER","Niger",3,"Dosso",8,"Dogon-Doutchi",17,"Tchibiri",NA,"","Commune","Commune","",""
18,162,"NER","Niger",3,"Dosso",9,"Dosso",18,"Dosso",NA,"","Commune","Commune","",""
19,162,"NER","Niger",3,"Dosso",10,"Gaya",19,"Bana",NA,"","Commune","Commune","",""
20,162,"NER","Niger",3,"Dosso",10,"Gaya",20,"Dioundou",NA,"","Commune","Commune","",""
21,162,"NER","Niger",3,"Dosso",10,"Gaya",21,"Gaya",NA,"","Commune","Commune","",""
22,162,"NER","Niger",3,"Dosso",10,"Gaya",22,"Karakara",NA,"","Commune","Commune","",""
23,162,"NER","Niger",3,"Dosso",10,"Gaya",23,"Yelou",NA,"","Commune","Commune","",""
24,162,"NER","Niger",3,"Dosso",10,"Gaya",24,"Zaboki",NA,"","Commune","Commune","",""
25,162,"NER","Niger",3,"Dosso",11,"Loga",25,"Falwel",NA,"","Commune","Commune","",""
26,162,"NER","Niger",3,"Dosso",11,"Loga",26,"Goubey",NA,"","Commune","Commune","",""
27,162,"NER","Niger",3,"Dosso",11,"Loga",27,"Sokorbe",NA,"","Commune","Commune","",""
28,162,"NER","Niger",4,"Maradi",12,"Aguié",28,"Aguie",NA,"","Commune","Commune","",""
29,162,"NER","Niger",4,"Maradi",12,"Aguié",29,"Gangara",NA,"","Commune","Commune","",""
30,162,"NER","Niger",4,"Maradi",13,"Dakoro",30,"Balder Goula",NA,"","Commune","Commune","",""
31,162,"NER","Niger",4,"Maradi",13,"Dakoro",31,"Birni N' Lalle",NA,"","Commune","Commune","",""
32,162,"NER","Niger",4,"Maradi",13,"Dakoro",32,"Kornaka",NA,"","Commune","Commune","",""
33,162,"NER","Niger",4,"Maradi",13,"Dakoro",33,"Tagris Soli",NA,"","Commune","Commune","",""
34,162,"NER","Niger",4,"Maradi",13,"Dakoro",34,"ZR Dakoro",NA,"","Commune","Commune","",""
35,162,"NER","Niger",4,"Maradi",14,"Groumdji",35,"Chadakori",NA,"","Commune","Commune","",""
36,162,"NER","Niger",4,"Maradi",14,"Groumdji",36,"Guidan Roumdji",NA,"","Commune","Commune","",""
37,162,"NER","Niger",4,"Maradi",14,"Groumdji",37,"Guidan Sori",NA,"","Commune","Commune","",""
38,162,"NER","Niger",4,"Maradi",14,"Groumdji",38,"Sae Saboua",NA,"","Commune","Commune","",""
39,162,"NER","Niger",4,"Maradi",14,"Groumdji",39,"Tibiri",NA,"","Commune","Commune","",""
40,162,"NER","Niger",4,"Maradi",15,"Madarounfa",40,"Gabi",NA,"","Commune","Commune","",""
41,162,"NER","Niger",4,"Maradi",15,"Madarounfa",41,"Madarounfa",NA,"","Commune","Commune","",""
42,162,"NER","Niger",4,"Maradi",15,"Madarounfa",42,"Mjiratawa",NA,"","Commune","Commune","",""
43,162,"NER","Niger",4,"Maradi",15,"Madarounfa",43,"Safo",NA,"","Commune","Commune","",""
44,162,"NER","Niger",4,"Maradi",15,"Madarounfa",44,"Sarkin Yamma",NA,"","Commune","Commune","",""
45,162,"NER","Niger",4,"Maradi",16,"Mayahi",45,"Kanembakache",NA,"","Commune","Commune","",""
46,162,"NER","Niger",4,"Maradi",16,"Mayahi",46,"Mayahi",NA,"","Commune","Commune","",""
47,162,"NER","Niger",4,"Maradi",17,"Tessaoua",47,"Korghom",NA,"","Commune","Commune","",""
48,162,"NER","Niger",4,"Maradi",17,"Tessaoua",48,"Ourafane",NA,"","Commune","Commune","",""
49,162,"NER","Niger",4,"Maradi",17,"Tessaoua",49,"Tessaoua",NA,"","Commune","Commune","",""
50,162,"NER","Niger",5,"Niamey",18,"Niamey",50,"Lamorde",NA,"","Commune","Commune","",""
51,162,"NER","Niger",6,"Tahoua",19,"Bkonni",51,"Birni N' Konni",NA,"","Commune","Commune","",""
52,162,"NER","Niger",6,"Tahoua",19,"Bkonni",52,"Doguerawa",NA,"","Commune","Commune","",""
53,162,"NER","Niger",6,"Tahoua",20,"Bouza",53,"Bouza",NA,"","Commune","Commune","",""
54,162,"NER","Niger",6,"Tahoua",20,"Bouza",54,"Deoul",NA,"","Commune","Commune","",""
55,162,"NER","Niger",6,"Tahoua",21,"Illéla",55,"Illela",NA,"","Commune","Commune","",""
56,162,"NER","Niger",6,"Tahoua",22,"Keita",56,"Garhanga",NA,"","Commune","Commune","",""
57,162,"NER","Niger",6,"Tahoua",22,"Keita",57,"Keita",NA,"","Commune","Commune","",""
58,162,"NER","Niger",6,"Tahoua",22,"Keita",58,"Tamaske",NA,"","Commune","Commune","",""
59,162,"NER","Niger",6,"Tahoua",23,"Madaoua",59,"Madaoua",NA,"","Commune","Commune","",""
60,162,"NER","Niger",6,"Tahoua",24,"Tahoua",60,"Bambeye",NA,"","Commune","Commune","",""
61,162,"NER","Niger",6,"Tahoua",24,"Tahoua",61,"Kalfou",NA,"","Commune","Commune","",""
62,162,"NER","Niger",6,"Tahoua",24,"Tahoua",62,"Tahoua",NA,"","Commune","Commune","",""
63,162,"NER","Niger",6,"Tahoua",25,"Tchin-Tabarade",63,"ZR Tchin-Tabaraden",NA,"","Commune","Commune","",""
64,162,"NER","Niger",7,"Tillabéry",26,"Filingué",64,"Imanan",NA,"","Commune","Commune","",""
65,162,"NER","Niger",7,"Tillabéry",26,"Filingué",65,"Kourfeye",NA,"","Commune","Commune","",""
66,162,"NER","Niger",7,"Tillabéry",26,"Filingué",66,"Tagazar",NA,"","Commune","Commune","",""
67,162,"NER","Niger",7,"Tillabéry",26,"Filingué",67,"Tondikandia",NA,"","Commune","Commune","",""
68,162,"NER","Niger",7,"Tillabéry",27,"Kollo",68,"Fakara",NA,"","Commune","Commune","",""
69,162,"NER","Niger",7,"Tillabéry",27,"Kollo",69,"Hamdallye",NA,"","Commune","Commune","",""
70,162,"NER","Niger",7,"Tillabéry",27,"Kollo",70,"Karma",NA,"","Commune","Commune","",""
71,162,"NER","Niger",7,"Tillabéry",27,"Kollo",71,"Kirtachi",NA,"","Commune","Commune","",""
72,162,"NER","Niger",7,"Tillabéry",27,"Kollo",72,"Koure",NA,"","Commune","Commune","",""
73,162,"NER","Niger",7,"Tillabéry",27,"Kollo",73,"Libore",NA,"","Commune","Commune","",""
74,162,"NER","Niger",7,"Tillabéry",27,"Kollo",74,"N'Dounga",NA,"","Commune","Commune","",""
75,162,"NER","Niger",7,"Tillabéry",27,"Kollo",75,"Namaro",NA,"","Commune","Commune","",""
76,162,"NER","Niger",7,"Tillabéry",28,"Ouallam",76,"Ouallam",NA,"","Commune","Commune","",""
