"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,192,"SHN","Saint Helena",1,"Ascension",1,"Ascension","",NA,"","Administrative Area","Administrative Area","",""
2,192,"SHN","Saint Helena",2,"Saint Helena",2," Levelwood","",NA,"","District","District","",""
3,192,"SHN","Saint Helena",2,"Saint Helena",3,"Alarm Forest","",NA,"","District","District","",""
4,192,"SHN","Saint Helena",2,"Saint Helena",4,"Blue Hill","",NA,"","District","District","",""
5,192,"SHN","Saint Helena",2,"Saint Helena",5,"Half Tree Hollow","",NA,"","District","District","",""
6,192,"SHN","Saint Helena",2,"Saint Helena",6,"Jamestown","",NA,"","District","District","",""
7,192,"SHN","Saint Helena",2,"Saint Helena",7,"Longwood","",NA,"","District","District","",""
8,192,"SHN","Saint Helena",2,"Saint Helena",8,"Sandy Bay","",NA,"","District","District","",""
9,192,"SHN","Saint Helena",2,"Saint Helena",9,"St. Paul's","",NA,"","District","District","",""
10,192,"SHN","Saint Helena",3,"Tristan da Cunha",10,"Tristan da Cunha","",NA,"","Dependency","Dependency","",""
