"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,230,"TGO","Togo",1,"Centre",1,"Sotouboua","TG.CE.SO",NA,"","Préfecture","Prefecture","",""
2,230,"TGO","Togo",1,"Centre",2,"Tchamba (Nyala)","TG.CE.TB",NA,"","Préfecture","Prefecture","","Nyala|Tchamba"
3,230,"TGO","Togo",1,"Centre",3,"Tchaudjo","TG.CE.TD",NA,"","Préfecture","Prefecture","","Sokodé|Tchaoudjo"
4,230,"TGO","Togo",2,"Kara",4,"Assoli","TG.KA.AS",NA,"","Préfecture","Prefecture","","Bafilo"
5,230,"TGO","Togo",2,"Kara",5,"Bassar","TG.KA.BA",NA,"","Préfecture","Prefecture","","Bassari"
6,230,"TGO","Togo",2,"Kara",6,"Bimah","TG.KA.BI",NA,"","Préfecture","Prefecture","","Binah|Pagouda|Kpagouda"
7,230,"TGO","Togo",2,"Kara",7,"Doufelgou","TG.KA.DO",NA,"","Préfecture","Prefecture","","Niamtougou"
8,230,"TGO","Togo",2,"Kara",8,"Kéran","TG.KA.KE",NA,"","Préfecture","Prefecture","","Kandé|Kanté"
9,230,"TGO","Togo",2,"Kara",9,"Kozah","TG.KA.KO",NA,"","Préfecture","Prefecture","","Kara|Lama-Kara"
10,230,"TGO","Togo",3,"Maritime",10,"Golfe (incl Lomé)","TG.MA.GO",NA,"","Commune and Préfecture","Commune and Prefecture","","Golfe|Lomé"
11,230,"TGO","Togo",3,"Maritime",11,"Lacs","TG.MA.LA",NA,"","Préfecture","Prefecture","","Anécho|Aného"
12,230,"TGO","Togo",3,"Maritime",12,"Vo","TG.MA.VO",NA,"","Préfecture","Prefecture","","Vogan"
13,230,"TGO","Togo",3,"Maritime",13,"Yoto","TG.MA.YO",NA,"","Préfecture","Prefecture","","Tabligbo"
14,230,"TGO","Togo",3,"Maritime",14,"Zio","TG.MA.ZI",NA,"","Préfecture","Prefecture","","Tsévié"
15,230,"TGO","Togo",4,"Plateaux",15,"Amou","TG.PL.AM",NA,"","Préfecture","Prefecture","","Amlamé"
16,230,"TGO","Togo",4,"Plateaux",16,"Haho","TG.PL.HA",NA,"","Préfecture","Prefecture","","Nuatja|Notsé"
17,230,"TGO","Togo",4,"Plateaux",17,"Kloto","TG.PL.KL",NA,"","Préfecture","Prefecture","","Kpalimé|Palimé|Klouto"
18,230,"TGO","Togo",4,"Plateaux",18,"Ogou","TG.PL.OG",NA,"","Préfecture","Prefecture","","Atakpamé"
19,230,"TGO","Togo",4,"Plateaux",19,"Wawa","TG.PL.WA",NA,"","Préfecture","Prefecture","","Badou"
20,230,"TGO","Togo",5,"Savanes",20,"Oti","TG.SA.OT",NA,"","Préfecture","Prefecture","","Sansanne-Mango|Mango"
21,230,"TGO","Togo",5,"Savanes",21,"Tône","TG.SA.TO",NA,"","Préfecture","Prefecture","","Dapango|Tôné|Dapaong"
